,image_name,caption
0,584f1ddf95d0e0392607597e_1.jpg,A woman grieved as she waited for the body of her husband to be retrieved from the scene of a multiple homicide at a house in Manila.
1,584f1ddf95d0e0392607597e_0.jpg,The body of a man killed by unknown gunmen lay behind a convenience store in Manila.
2,584f1ddf95d0e0392607597e_3.jpg,"The funeral of Jimboy Bolasa, 25, who was found killed along with a friend."
3,584f1ddf95d0e0392607597e_2.jpg,"The body of a man killed by unidentified gunmen lay on a street in Mandaluyong, Philippines."
0,54453eab38f0d832c813e7f5_0.jpg,Mark Zuckerberg is the chief executive of Facebook.
0,5a57160395d0e0110c1a3f23_1.jpg,An image on display at The Jennifer Chalsty Planetarium and Liberty Science Center  planetarium at Liberty Science Center in New Jersey.
1,5a57160395d0e0110c1a3f23_0.jpg,
2,5a57160395d0e0110c1a3f23_2.jpg,A tourist takes a photograph on their iPhone of the Sydney Harbour Bridge.
0,55b40f6b38f0d851b1f6dc7c_1.jpg,"This photograph of Leroy Smith aiding an ailing man during a rally in Columbia, S.C., on July 18 was posted on Twitter."
1,55b40f6b38f0d851b1f6dc7c_0.jpg,"Leroy Smith, director of the South Carolina Department of Public Safety, at his headquarters. At a rally on the State House grounds soon after a Confederate flag was removed, Mr. Smith helped an ailing man who wore a T-shirt bearing a swastika."
2,55b40f6b38f0d851b1f6dc7c_2.jpg,"Opposing groups rallied at the capitol in Columbia, S.C., on July 18, eight days after a Confederate battle flag was removed."
0,51a92bb440e9ec65d203a9e4_0.jpg,
0,56562fe138f0d8310210dcbc_0.jpg,"Tony Romo, who returned to the Cowboys last weekend, will be a familiar face on Thanksgiving."
0,58f7352c95d0e024b586c1c3_0.jpg,
0,5397a3d038f0d80b34dcbdd6_0.jpg,The United States team training in São Paulo.
0,549474a738f0d87118e48f39_0.jpg,The J. Edgar Hoover F.B.I. building in Washington. Auditors have found many problems with how the bureau handles evidence.
0,5812248995d0e022439c592f_0.jpg,"A meat sampler at Bonnie Blue in Winchester, Va."
0,530a3ec438f0d831c50b528c_1.jpg,"Bottega Veneta, autumn/winter 2014."
1,530a3ec438f0d831c50b528c_0.jpg,"Bottega Veneta, by Tomas Maier, autumn/winter 2014, in Milan."
2,530a3ec438f0d831c50b528c_3.jpg,"Jil Sander, autumn/winter 2014, in Milan."
3,530a3ec438f0d831c50b528c_2.jpg,"Marni, by Consuelo Castiglioni, autumn/winter 2014, in Milan."
0,561e353f38f0d86f05abed8c_0.jpg,
0,54381af238f0d83c143b8a23_1.jpg,"A one-bedroom condo in Mission Hills, a mostly residential area known for its midcentury architecture in San Diego, is on the market for $250,000."
1,54381af238f0d83c143b8a23_0.jpg,"A one-bedroom condo in Asheville, a town in western North Carolina with a reputation for good food, music and art, is on the market for $250,000."
0,57b5bfff95d0e021d798158a_0.jpg,"Mel Brooks in the Spanish Inquisition number from “History of the World, Part I.”"
0,54174bd638f0d851fd3a7bf1_0.jpg,"The 45-acre Harbor Island Park, at the base of Mamaroneck Avenue, is a big attraction in the village, which has also become a go-to spot for restaurants."
0,58cedcaa95d0e02489b91f23_0.jpg,"Chuck Berry, shown in 1980, created a sound and style that made him rock ’n’ roll’s first true superstar."
0,55e6a36238f0d86bbc6506da_1.jpg,"A family picnic on a Gaza City beach, also from ""Occupied Pleasures."""
1,55e6a36238f0d86bbc6506da_0.jpg,"A woman practicing yoga on a West Bank hilltop, part of the ""Occupied Pleasures"" series by the photographer Tanya Habjouqa."
0,54fbdae138f0d80a0a50027a_0.jpg,
0,528aa36d38f0d833dcdee96b_0.jpg,Maria Bartiromo of “Closing Bell” was the first to make daily live reports from the floor of the New York Exchange.
0,53050cbd38f0d843b6dd8a8e_0.jpg,
0,565bf65438f0d81f86d4e36d_0.jpg,"Eric and Amber Hoffman in Osaka, Japan."
0,540b1abe38f0d84fb8834644_0.jpg,"Daniel F. Akerson, chief executive of General Motors, in Beijing this month."
0,53050cbd38f0d843b6dd8a8f_0.jpg,
0,53050cbd38f0d843b6dd8a8c_0.jpg,
0,53050cbd38f0d843b6dd8a8b_1.jpg,"Shteyngart, second from left, and his father, third from left, in Israel."
1,53050cbd38f0d843b6dd8a8b_0.jpg,
0,59248f9895d0e024b5872783_1.jpg,
1,59248f9895d0e024b5872783_0.jpg,
2,59248f9895d0e024b5872783_2.jpg,Grayson Perry
